gene_id,GFP+_ribo_A,GFP+_ribo_B,GFP+_rna_A,GFP-_rna_A,GFP+_rna_B,GFP-_rna_B
ENSG00000161960.14,17.428522,23.795726000000002,183.54704500000003,188.065649,181.152918,230.95594
ENSG00000161970.12,16.068855,8.944984,416.30734,388.10530500000004,521.0503959999999,868.4882889999999
ENSG00000161980.5,0.06913,0.131434,6.1566030000000005,6.453155,6.528765,6.974166
ENSG00000161981.10,0.037566,0.060237,11.836091000000001,20.583591,12.256668,13.446301
ENSG00000161996.18,0.019833,0.015341,6.267066,9.200419,5.286841000000001,5.265558
ENSG00000161999.11,0.10911099999999999,0.12909700000000002,18.918082,30.967966000000004,20.047371,20.551707999999998
ENSG00000162004.16,0,0.002396,1.560717,1.077671,2.088623,0.24504700000000001
ENSG00000162032.15,0.034128,0.040209,4.6856,13.282496000000002,4.8944540000000005,6.649594
ENSG00000162062.14,0.018475,0.010574,1.561115,4.651321,1.693313,1.360581
ENSG00000162063.12,0.031046,0.028204999999999997,2.5850809999999997,4.119682,2.420121,2.3231680000000003
ENSG00000162065.12,0.020067,0.036342,3.830363,5.110889,4.220184,3.204815
ENSG00000162066.14,0.113088,0.19433499999999998,14.029319000000001,27.402517000000007,12.854582,9.730196999999999
ENSG00000162069.14,0.005982,0.007412,1.569845,6.120143,1.19143,1.885865
ENSG00000162073.13,0.008904,0.018608,2.044005,3.396162,2.6861740000000003,3.0350070000000002
ENSG00000162076.12,0.072934,0.182427,28.995829999999998,45.965251,34.606652999999994,30.029798
ENSG00000162086.14,0.032394,0.058604,7.379217000000001,3.6153609999999996,8.160798,8.868355
ENSG00000162104.9,0.09251200000000001,0.263328,16.255668,12.131645,12.571738999999999,7.8886009999999995
ENSG00000162105.17,0.060996,0.169371,12.615798999999997,24.994005000000005,11.495189999999997,20.549942000000005
ENSG00000162129.12,0.13639,0.292577,10.939774,12.366449,10.077459999999999,12.430427000000002
ENSG00000162139.9,0.048835,0.051258000000000005,2.941963,2.900056,3.1823490000000003,3.709362
ENSG00000162144.9,0.200141,0.157356,8.432868000000001,13.634117999999997,10.380488,9.047513000000002
ENSG00000162148.10,0.001092,0.013629,1.995747,2.046671,2.776612,2.739143
ENSG00000162174.12,0.18742,0.289986,6.709780000000001,14.770626,11.231027000000001,12.519587
ENSG00000162191.13,1.8118739999999998,1.7342969999999998,36.299443999999994,81.584132,43.41233199999999,43.108743
ENSG00000162194.12,0.102647,0.133126,1.9866080000000002,1.590144,2.6059229999999998,2.233917
ENSG00000162222.13,0.093574,0.121323,17.797843,5.93542,15.444187000000001,17.669612
ENSG00000162227.7,0.103414,0.13250699999999999,10.113879,12.01435,5.723396,6.947811000000001
ENSG00000162231.13,0.403235,0.48834600000000006,26.981955999999997,24.238955999999998,21.262959999999996,20.141186999999995
ENSG00000162236.11,0.088042,0.163848,13.261674999999999,17.463873999999997,13.464739,15.695079999999999
ENSG00000162241.12,0.002071,0.008983000000000001,0.813099,1.16278,0.519214,0.844156
ENSG00000162244.10,0.835307,0.800789,350.23182299999996,429.76533599999993,428.78367299999996,719.863377
ENSG00000162298.18,0.27555399999999997,0.482423,13.542475000000001,11.320988999999999,13.258731,11.365968999999998
ENSG00000162300.11,0.10384,0.10875299999999999,11.502253000000001,14.546037000000002,13.799413000000001,14.850249
ENSG00000162302.12,0.059532,0.043387999999999996,6.047460999999999,12.872155,6.505724000000001,7.939377
ENSG00000162337.11,0.062473,0.168123,22.743634999999998,34.844053,38.567733000000004,31.424573
ENSG00000162341.16,0.039831,0.054507,4.089149,3.9913250000000002,4.21517,3.59044
ENSG00000162368.13,0.769596,1.344029,33.60172300000001,15.216197,33.678425000000004,38.533857000000005
ENSG00000162373.12,0.01922,0.064553,1.8602409999999998,3.0207889999999997,2.964239,6.597186
ENSG00000162377.5,0.19699899999999998,0.26392899999999997,6.302589,4.978965,5.206535,5.8329439999999995
ENSG00000162378.12,0.040749999999999995,0.061814999999999995,8.271589,3.287781,7.959857,7.3049159999999995
ENSG00000162384.13,0.346989,0.635399,13.532715,13.377644,16.146407,16.940043
ENSG00000162385.10,0.807634,1.464189,30.123912999999998,6.897389,36.716978,31.357161
ENSG00000162390.17,0.029789,0.016343,3.0588429999999995,3.1113210000000002,3.1780999999999997,2.677192
ENSG00000162396.5,0.018448,0.043221999999999997,3.855156,2.897202,4.990845,4.332236
ENSG00000162402.13,0.069491,0.109539,17.561155,8.042018,13.12927,13.904790999999998
ENSG00000162407.8,0.414975,0.591042,19.463655,10.24672,13.883959999999998,10.948407000000001
ENSG00000162408.10,0.139267,0.285162,9.47068,4.065427,6.237594,7.548157000000001
ENSG00000162409.10,0.019338,0.026718,2.8021759999999998,0.639454,2.161292,2.236342
ENSG00000162413.16,0.074972,0.17568,7.359267999999999,10.904235000000002,7.176313,6.88326
ENSG00000162415.6,0.014854,0.028066,3.568505,1.890707,3.348704,2.948002
ENSG00000162419.12,0.048151,0.080839,4.91659,5.7149410000000005,5.404197,4.508828
